Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
"Career/Technical Education Teachers, Postsecondary (25-1194)","2,250",14,$33.60 ,"$69,890 ",2.2,$22.39 ,$23.60 ,$29.86 ,$36.78 ,$54.24 ,"$46,570 ","$49,090 ","$62,100 ","$76,510 ","$112,830 ",0.705,0.98
"Postsecondary Teachers, All Other (25-1199)","3,450",11.1,(4) -,"$74,140 ",3.2,(4) -,(4) -,(4) -,(4) -,(4) -,"$36,660 ","$51,470 ","$65,200 ","$83,640 ","$106,500 ",1.079,1.1
"Preschool Teachers, Except Special Education (25-2011)","9,500",7.5,(4) -,"$37,250 ",1.1,(4) -,(4) -,(4) -,(4) -,(4) -,"$30,660 ","$33,920 ","$35,240 ","$37,350 ","$45,720 ",2.97,1.03
"Kindergarten Teachers, Except Special Education (25-2012)","2,540",2.1,(4) -,"$56,730 ",0.7,(4) -,(4) -,(4) -,(4) -,(4) -,"$42,230 ","$47,510 ","$51,780 ","$61,320 ","$77,690 ",0.793,1.07
"Elementary School Teachers, Except Special Education (25-2021)","23,250",2.3,(4) -,"$58,660 ",0.6,(4) -,(4) -,(4) -,(4) -,(4) -,"$40,100 ","$47,040 ","$50,980 ","$63,600 ","$80,010 ",7.273,0.8
"Middle School Teachers, Except Special and Career/Technical Education (25-2022)","8,930",7.5,(4) -,"$60,670 ",1.5,(4) -,(4) -,(4) -,(4) -,(4) -,"$45,670 ","$48,810 ","$59,060 ","$63,460 ","$80,810 ",2.793,0.69
"Career/Technical Education Teachers, Middle School (25-2023)",60,0.1,(4) -,"$52,050 ",0.8,(4) -,(4) -,(4) -,(4) -,(4) -,"$42,600 ","$48,630 ","$48,630 ","$56,680 ","$60,380 ",0.02,0.21
"Secondary School Teachers, Except Special and Career/Technical Education (25-2031)","24,100",4.3,(4) -,"$65,480 ",2.2,(4) -,(4) -,(4) -,(4) -,(4) -,"$44,510 ","$48,150 ","$59,900 ","$76,430 ","$100,670 ",7.54,1.08
"Career/Technical Education Teachers, Secondary School (25-2032)",590,9.3,(4) -,"$60,340 ",3.4,(4) -,(4) -,(4) -,(4) -,(4) -,"$30,390 ","$45,830 ","$54,130 ","$73,580 ","$98,920 ",0.184,0.27
"Special Education Teachers, Preschool (25-2051)",320,14.3,(4) -,"$61,430 ",1.5,(4) -,(4) -,(4) -,(4) -,(4) -,"$45,760 ","$49,300 ","$60,660 ","$76,580 ","$80,120 ",0.099,0.54
"Special Education Teachers, Kindergarten and Elementary School (25-2052)","2,220",4.2,(4) -,"$54,670 ",0.9,(4) -,(4) -,(4) -,(4) -,(4) -,"$43,760 ","$46,100 ","$49,760 ","$59,260 ","$74,400 ",0.694,0.46
"Special Education Teachers, Middle School (25-2057)",600,4.7,(4) -,"$58,990 ",1.1,(4) -,(4) -,(4) -,(4) -,(4) -,"$46,180 ","$49,500 ","$59,610 ","$63,170 ","$76,580 ",0.187,0.3
"Special Education Teachers, Secondary School (25-2058)","2,290",3.6,(4) -,"$70,340 ",1.2,(4) -,(4) -,(4) -,(4) -,(4) -,"$49,130 ","$52,290 ","$61,890 ","$76,900 ","$101,900 ",0.716,0.68
"Special Education Teachers, All Other (25-2059)",80,25.7,(4) -,"$59,730 ",5.2,(4) -,(4) -,(4) -,(4) -,(4) -,"$40,960 ","$48,190 ","$59,880 ","$72,550 ","$82,370 ",0.024,0.1
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors (25-3011)",650,17,$29.53 ,"$61,410 ",10.4,$15.14 ,$15.90 ,$28.97 ,$36.09 ,$43.25 ,"$31,490 ","$33,080 ","$60,250 ","$75,060 ","$89,960 ",0.203,0.86
Self-Enrichment Teachers (25-3021),"1,450",23.3,$23.30 ,"$48,470 ",4.5,$15.08 ,$17.41 ,$21.01 ,$28.11 ,$32.47 ,"$31,370 ","$36,210 ","$43,700 ","$58,470 ","$67,540 ",0.453,0.23
"Substitute Teachers, Short-Term (25-3031)","4,850",13.5,$20.14 ,"$41,890 ",3.1,$14.39 ,$15.03 ,$17.47 ,$20.98 ,$27.74 ,"$29,940 ","$31,270 ","$36,330 ","$43,640 ","$57,710 ",1.518,0.49
Tutors (25-3041),"3,110",11.2,$23.57 ,"$49,030 ",6.2,$14.35 ,$15.98 ,$21.26 ,$29.20 ,$37.39 ,"$29,850 ","$33,230 ","$44,220 ","$60,730 ","$77,780 ",0.973,0.86
"Teachers and Instructors, All Other (25-3099)",790,17.7,(4) -,"$76,420 ",5.6,(4) -,(4) -,(4) -,(4) -,(4) -,"$40,650 ","$53,950 ","$77,790 ","$91,460 ","$111,740 ",0.246,0.3
Archivists (25-4011),50,10.8,$26.70 ,"$55,530 ",3.3,$18.33 ,$20.83 ,$23.52 ,$31.21 ,$39.22 ,"$38,130 ","$43,320 ","$48,920 ","$64,930 ","$81,570 ",0.017,0.37
Curators (25-4012),100,6.4,$33.21 ,"$69,080 ",1.2,$19.00 ,$25.74 ,$30.72 ,$40.80 ,$45.16 ,"$39,520 ","$53,540 ","$63,900 ","$84,870 ","$93,930 ",0.033,0.41
Museum Technicians and Conservators (25-4013),120,12.8,$23.81 ,"$49,530 ",4.7,$16.22 ,$17.48 ,$21.37 ,$25.63 ,$35.34 ,"$33,730 ","$36,350 ","$44,460 ","$53,300 ","$73,500 ",0.039,0.46
Librarians and Media Collections Specialists (25-4022),"1,880",1.4,$29.37 ,"$61,090 ",0.9,$16.62 ,$22.38 ,$28.25 ,$35.44 ,$46.08 ,"$34,560 ","$46,550 ","$58,760 ","$73,720 ","$95,840 ",0.587,0.69
Library Technicians (25-4031),770,2.9,$20.01 ,"$41,630 ",0.7,$14.35 ,$15.74 ,$19.39 ,$22.99 ,$27.00 ,"$29,850 ","$32,750 ","$40,330 ","$47,820 ","$56,170 ",0.241,0.5
Instructional Coordinators (25-9031),"6,030",3.2,$32.51 ,"$67,620 ",2.1,$18.27 ,$23.19 ,$30.14 ,$37.74 ,$48.08 ,"$38,010 ","$48,240 ","$62,700 ","$78,500 ","$100,010 ",1.887,1.38
"Teaching Assistants, Postsecondary (25-9044)","6,630",1.4,(4) -,"$46,670 ",0.9,(4) -,(4) -,(4) -,(4) -,(4) -,"$29,850 ","$29,850 ","$39,570 ","$56,340 ","$63,650 ",2.074,2.06
"Teaching Assistants, Except Postsecondary (25-9045)","24,800",2.5,(4) -,"$35,570 ",0.6,(4) -,(4) -,(4) -,(4) -,(4) -,"$29,850 ","$30,980 ","$34,550 ","$37,650 ","$39,410 ",7.759,0.87
"Educational Instruction and Library Workers, All Other (25-9099)","1,000",17.3,$24.83 ,"$51,640 ",4.7,$17.50 ,$17.55 ,$25.25 ,$28.69 ,$32.28 ,"$36,400 ","$36,500 ","$52,520 ","$59,680 ","$67,140 ",0.314,0.42
"Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)","35,550",3.5,$30.37 ,"$63,170 ",2.2,$16.33 ,$18.55 ,$24.50 ,$35.92 ,$48.36 ,"$33,970 ","$38,590 ","$50,960 ","$74,720 ","$100,580 ",11.12,0.82
Art Directors (27-1011),370,27.9,$47.80 ,"$99,430 ",24.2,$29.00 ,$35.72 ,$41.09 ,$51.91 ,$72.78 ,"$60,320 ","$74,300 ","$85,470 ","$107,960 ","$151,370 ",0.117,0.36
Craft Artists (27-1012),(8) -,(8) -,$16.67 ,"$34,680 ",11.4,$14.35 ,$14.40 ,$14.40 ,$16.35 ,$21.46 ,"$29,850 ","$29,950 ","$29,950 ","$34,010 ","$44,650 ",(8) -,(8) -
"Fine Artists, Including Painters, Sculptors, and Illustrators (27-1013)",80,22.4,$30.90 ,"$64,260 ",3,$18.20 ,$18.57 ,$30.47 ,$43.63 ,$47.05 ,"$37,850 ","$38,620 ","$63,380 ","$90,740 ","$97,870 ",0.024,0.37
Special Effects Artists and Animators (27-1014),(8) -,(8) -,$35.04 ,"$72,880 ",8.4,$25.84 ,$28.04 ,$32.46 ,$40.15 ,$45.06 ,"$53,750 ","$58,310 ","$67,510 ","$83,510 ","$93,730 ",(8) -,(8) -
"Artists and Related Workers, All Other (27-1019)",50,31.6,$26.55 ,"$55,230 ",13.8,$18.09 ,$18.09 ,$19.36 ,$35.50 ,$45.98 ,"$37,630 ","$37,630 ","$40,270 ","$73,840 ","$95,640 ",0.015,0.31
Commercial and Industrial Designers (27-1021),290,21.6,$43.40 ,"$90,270 ",3.9,$29.38 ,$32.31 ,$38.87 ,$50.12 ,$66.62 ,"$61,100 ","$67,200 ","$80,860 ","$104,260 ","$138,570 ",0.09,0.46
Fashion Designers (27-1022),110,49.6,$22.19 ,"$46,150 ",6.6,$17.69 ,$19.75 ,$20.77 ,$26.12 ,$28.01 ,"$36,790 ","$41,070 ","$43,200 ","$54,330 ","$58,250 ",0.034,0.25
Floral Designers (27-1023),240,30.2,$17.42 ,"$36,230 ",1.7,$15.82 ,$16.64 ,$17.34 ,$17.74 ,$18.97 ,"$32,900 ","$34,600 ","$36,070 ","$36,900 ","$39,460 ",0.075,0.29
Graphic Designers (27-1024),"4,330",16.6,$28.80 ,"$59,910 ",3.1,$18.71 ,$22.49 ,$25.11 ,$33.65 ,$42.67 ,"$38,910 ","$46,790 ","$52,240 ","$69,990 ","$88,750 ",1.355,0.97
Interior Designers (27-1025),"1,550",10.3,$31.26 ,"$65,010 ",3.5,$21.53 ,$23.71 ,$30.75 ,$36.99 ,$44.18 ,"$44,790 ","$49,310 ","$63,950 ","$76,940 ","$91,890 ",0.486,1.08
Merchandise Displayers and Window Trimmers (27-1026),"4,700",11.6,$18.87 ,"$39,250 ",1.9,$15.12 ,$16.22 ,$17.09 ,$19.68 ,$24.09 ,"$31,450 ","$33,730 ","$35,540 ","$40,930 ","$50,110 ",1.469,1.18
Set and Exhibit Designers (27-1027),50,24.9,$30.67 ,"$63,790 ",5.2,$18.02 ,$19.76 ,$24.58 ,$42.76 ,$50.23 ,"$37,490 ","$41,090 ","$51,120 ","$88,940 ","$104,470 ",0.015,0.21
Actors (27-2011),360,32.9,$25.46 ,(4) -,13.2,$15.08 ,$17.37 ,$22.63 ,$28.45 ,$36.85 ,(4) -,(4) -,(4) -,(4) -,(4) -,0.112,0.45
Producers and Directors (27-2012),"1,290",9.5,$32.54 ,"$67,680 ",4.8,$16.18 ,$20.00 ,$28.97 ,$37.26 ,$50.25 ,"$33,660 ","$41,600 ","$60,260 ","$77,510 ","$104,520 ",0.405,0.43
Athletes and Sports Competitors (27-2021),(8) -,(8) -,(4) -,"$80,770 ",17.8,(4) -,(4) -,(4) -,(4) -,(4) -,"$32,980 ","$32,980 ","$33,640 ","$44,160 ","$96,910 ",(8) -,(8) -
Coaches and Scouts (27-2022),"4,140",13.4,(4) -,"$60,960 ",4.4,(4) -,(4) -,(4) -,(4) -,(4) -,"$35,270 ","$37,740 ","$47,460 ","$62,360 ","$93,380 ",1.296,0.8
"Umpires, Referees, and Other Sports Officials (27-2023)",180,34.3,(4) -,"$41,510 ",7.6,(4) -,(4) -,(4) -,(4) -,(4) -,"$29,980 ","$30,020 ","$45,240 ","$48,660 ","$48,660 ",0.055,0.57
Musicians and Singers (27-2042),(8) -,(8) -,$43.26 ,(4) -,13.7,$18.64 ,$30.13 ,$49.20 ,$54.85 ,$56.56 ,(4) -,(4) -,(4) -,(4) -,(4) -,(8) -,(8) -
"Disc Jockeys, Except Radio (27-2091)",180,44.4,$21.91 ,(4) -,23.8,$14.35 ,$14.74 ,$21.09 ,$21.09 ,$47.51 ,(4) -,(4) -,(4) -,(4) -,(4) -,0.057,1.08
"Entertainers and Performers, Sports and Related Workers, All Other (27-2099)",(8) -,(8) -,$25.76 ,(4) -,3.3,$15.29 ,$24.51 ,$26.36 ,$26.36 ,$26.36 ,(4) -,(4) -,(4) -,(4) -,(4) -,(8) -,(8) -
Broadcast Announcers and Radio Disc Jockeys (27-3011),320,20,$28.87 ,"$60,050 ",5.9,$14.53 ,$15.00 ,$18.67 ,$26.94 ,$48.07 ,"$30,220 ","$31,190 ","$38,830 ","$56,040 ","$99,990 ",0.101,0.65
"News Analysts, Reporters, and Journalists (27-3023)",570,16.6,$29.22 ,"$60,780 ",5.1,$17.21 ,$18.66 ,$23.63 ,$32.49 ,$47.21 ,"$35,790 ","$38,810 ","$49,140 ","$67,580 ","$98,200 ",0.18,0.67
Public Relations Specialists (27-3031),"5,960",4.9,$37.29 ,"$77,560 ",6.7,$20.00 ,$24.05 ,$31.16 ,$39.84 ,$58.29 ,"$41,600 ","$50,020 ","$64,800 ","$82,880 ","$121,230 ",1.865,1.02
Editors (27-3041),"1,090",11.6,$34.48 ,"$71,710 ",3.3,$17.51 ,$22.35 ,$29.58 ,$39.24 ,$50.81 ,"$36,420 ","$46,490 ","$61,530 ","$81,630 ","$105,690 ",0.34,0.55
Technical Writers (27-3042),710,46.6,$40.21 ,"$83,640 ",13.7,$22.79 ,$29.79 ,$39.47 ,$49.01 ,$57.19 ,"$47,410 ","$61,950 ","$82,100 ","$101,940 ","$118,940 ",0.222,0.62
Writers and Authors (27-3043),580,20.3,$31.42 ,"$65,360 ",5.2,$18.32 ,$22.81 ,$30.11 ,$36.41 ,$47.45 ,"$38,110 ","$47,450 ","$62,640 ","$75,720 ","$98,690 ",0.181,0.58
Interpreters and Translators (27-3091),"2,040",10.8,$27.19 ,"$56,560 ",8,$17.20 ,$18.25 ,$23.17 ,$35.14 ,$46.11 ,"$35,770 ","$37,970 ","$48,200 ","$73,090 ","$95,910 ",0.638,1.84
Court Reporters and Simultaneous Captioners (27-3092),140,32.9,$34.12 ,"$70,970 ",2.3,$25.82 ,$31.79 ,$32.16 ,$36.34 ,$42.98 ,"$53,710 ","$66,130 ","$66,890 ","$75,580 ","$89,390 ",0.044,0.54
Audio and Video Technicians (27-4011),"1,680",20.8,$25.38 ,"$52,790 ",4.7,$16.97 ,$18.25 ,$22.01 ,$29.31 ,$38.22 ,"$35,290 ","$37,960 ","$45,790 ","$60,960 ","$79,510 ",0.524,1.15
Broadcast Technicians (27-4012),460,7.7,$34.62 ,"$72,010 ",2.8,$16.44 ,$21.52 ,$30.33 ,$38.42 ,$60.70 ,"$34,190 ","$44,750 ","$63,080 ","$79,910 ","$126,250 ",0.143,1.04
Sound Engineering Technicians (27-4014),250,46.8,$39.35 ,"$81,840 ",22.8,$17.53 ,$28.02 ,$46.82 ,$50.23 ,$50.23 ,"$36,450 ","$58,290 ","$97,380 ","$104,470 ","$104,470 ",0.079,0.93
Photographers (27-4021),"1,090",20,$23.65 ,"$49,190 ",10.4,$14.90 ,$16.07 ,$18.37 ,$25.54 ,$46.70 ,"$31,000 ","$33,420 ","$38,210 ","$53,120 ","$97,130 ",0.34,1.02
"Camera Operators, Television, Video, and Film (27-4031)",630,18.1,$45.82 ,"$95,300 ",11.9,$19.23 ,$27.27 ,$35.98 ,$69.40 ,$74.45 ,"$39,990 ","$56,710 ","$74,830 ","$144,350 ","$154,860 ",0.198,1.25
Film and Video Editors (27-4032),200,27.2,$27.41 ,"$57,010 ",7.4,$17.63 ,$22.46 ,$24.00 ,$30.95 ,$37.48 ,"$36,670 ","$46,710 ","$49,920 ","$64,380 ","$77,960 ",0.064,0.34
"Media and Communication Equipment Workers, All Other (27-4099)",160,7.6,$43.53 ,"$90,550 ",2.9,$24.31 ,$29.64 ,$44.59 ,$55.32 ,$64.63 ,"$50,560 ","$61,650 ","$92,750 ","$115,070 ","$134,430 ",0.049,0.58
Healthcare Practitioners and Technical Occupations (29-0000),"195,030",1.5,$51.89 ,"$107,930 ",2,$21.59 ,$29.79 ,$42.19 ,$55.22 ,$81.08 ,"$44,910 ","$61,970 ","$87,750 ","$114,860 ","$168,640 ",61.01,0.98
Chiropractors (29-1011),"1,180",17.4,$42.08 ,"$87,520 ",7.5,$22.28 ,$35.35 ,$45.95 ,$50.00 ,$50.00 ,"$46,330 ","$73,530 ","$95,580 ","$104,000 ","$104,000 ",0.37,1.52
"Dentists, General (29-1021)","2,930",19.6,$96.75 ,"$201,240 ",9.1,$28.84 ,$65.00 ,$99.36 ,$111.95 ,(5) -,"$59,990 ","$135,200 ","$206,660 ","$232,860 ",(5) -,0.918,1.25
"Dentists, All Other Specialists (29-1029)",180,15.9,$124.25 ,"$258,450 ",7.8,$83.33 ,$100.91 ,(5) -,(5) -,(5) -,"$173,330 ","$209,890 ",(5) -,(5) -,(5) -,0.058,1.51
Dietitians and Nutritionists (29-1031),"1,280",24.5,$32.58 ,"$67,770 ",7.2,$20.37 ,$28.33 ,$31.41 ,$38.31 ,$43.09 ,"$42,370 ","$58,920 ","$65,330 ","$79,680 ","$89,630 ",0.4,0.81
Optometrists (29-1041),960,18.7,$66.97 ,"$139,300 ",6.2,$46.15 ,$49.53 ,$64.63 ,$77.83 ,$83.91 ,"$95,990 ","$103,030 ","$134,430 ","$161,890 ","$174,530 ",0.299,1.1
Pharmacists (29-1051),"7,690",6.8,$65.58 ,"$136,410 ",1.1,$39.00 ,$63.57 ,$66.39 ,$75.83 ,$80.15 ,"$81,120 ","$132,230 ","$138,080 ","$157,720 ","$166,710 ",2.405,1.13
Physician Assistants (29-1071),"3,540",9.3,$68.83 ,"$143,160 ",2.4,$52.28 ,$60.87 ,$65.02 ,$76.50 ,$88.21 ,"$108,750 ","$126,600 ","$135,240 ","$159,120 ","$183,470 ",1.107,1.1
Podiatrists (29-1081),250,17.7,$73.59 ,"$153,070 ",6.2,$29.89 ,$43.92 ,$72.11 ,$99.34 ,$114.69 ,"$62,170 ","$91,360 ","$149,990 ","$206,620 ","$238,560 ",0.077,1.24
Occupational Therapists (29-1122),"2,390",7.1,$48.73 ,"$101,360 ",2.2,$36.07 ,$40.40 ,$49.14 ,$55.76 ,$62.03 ,"$75,020 ","$84,030 ","$102,220 ","$115,970 ","$129,010 ",0.747,0.76
Physical Therapists (29-1123),"4,540",5.6,$50.12 ,"$104,250 ",1.2,$38.00 ,$42.06 ,$48.88 ,$57.64 ,$63.16 ,"$79,040 ","$87,480 ","$101,660 ","$119,900 ","$131,380 ",1.421,0.88
Radiation Therapists (29-1124),420,11.4,$52.17 ,"$108,510 ",1,$38.04 ,$45.03 ,$49.17 ,$59.66 ,$64.65 ,"$79,130 ","$93,650 ","$102,270 ","$124,100 ","$134,480 ",0.13,1.07
Recreational Therapists (29-1125),150,1.3,$31.80 ,"$66,150 ",0.4,$23.90 ,$25.92 ,$29.38 ,$37.93 ,$42.50 ,"$49,710 ","$53,910 ","$61,110 ","$78,890 ","$88,400 ",0.047,0.48
Respiratory Therapists (29-1126),"3,070",2.6,$37.01 ,"$76,990 ",0.5,$30.04 ,$33.37 ,$38.12 ,$40.08 ,$42.62 ,"$62,480 ","$69,420 ","$79,290 ","$83,370 ","$88,650 ",0.961,1.09
Speech-Language Pathologists (29-1127),"2,830",7,$47.30 ,"$98,390 ",2.2,$32.35 ,$37.83 ,$46.15 ,$53.04 ,$65.70 ,"$67,290 ","$78,680 ","$95,990 ","$110,330 ","$136,660 ",0.884,0.76
Exercise Physiologists (29-1128),130,3.5,$29.67 ,"$61,720 ",0.3,$23.46 ,$24.56 ,$28.59 ,$32.16 ,$35.97 ,"$48,810 ","$51,090 ","$59,460 ","$66,890 ","$74,810 ",0.041,0.79
"Therapists, All Other (29-1129)",330,32.9,$37.89 ,"$78,810 ",11.4,$20.51 ,$22.06 ,$29.53 ,$36.04 ,$53.11 ,"$42,660 ","$45,880 ","$61,430 ","$74,960 ","$110,470 ",0.103,0.82
Veterinarians (29-1131),"1,430",7.2,$91.63 ,"$190,600 ",20.9,$36.10 ,$49.79 ,$63.85 ,$96.93 ,$106.33 ,"$75,090 ","$103,560 ","$132,810 ","$201,610 ","$221,170 ",0.449,0.86
Registered Nurses (29-1141),"64,430",2,$45.79 ,"$95,230 ",0.5,$33.62 ,$39.13 ,$46.58 ,$50.70 ,$59.37 ,"$69,930 ","$81,390 ","$96,890 ","$105,450 ","$123,480 ",20.155,0.95
Nurse Anesthetists (29-1151),(8) -,(8) -,$118.41 ,"$246,300 ",22.8,$105.01 ,$106.05 ,$109.95 ,(5) -,(5) -,"$218,420 ","$220,580 ","$228,690 ",(5) -,(5) -,(8) -,(8) -
Nurse Midwives (29-1161),80,23.3,$84.07 ,"$174,870 ",18.4,$49.51 ,$57.26 ,$65.19 ,$77.77 ,(5) -,"$102,980 ","$119,090 ","$135,590 ","$161,770 ",(5) -,0.024,0.45
Nurse Practitioners (29-1171),"7,540",6.7,$63.90 ,"$132,920 ",2.4,$40.74 ,$55.43 ,$64.32 ,$72.91 ,$82.99 ,"$84,740 ","$115,290 ","$133,790 ","$151,650 ","$172,610 ",2.357,1.18
Audiologists (29-1181),450,36.2,$47.38 ,"$98,550 ",3.4,$37.22 ,$39.05 ,$49.10 ,$52.56 ,$55.82 ,"$77,420 ","$81,220 ","$102,130 ","$109,330 ","$116,100 ",0.14,1.46
Emergency Medicine Physicians (29-1214),(8) -,(8) -,(5) -,(5) -,5.4,(5) -,(5) -,(5) -,(5) -,(5) -,(5) -,(5) -,(5) -,(5) -,(5) -,(8) -,(8) -
Family Medicine Physicians (29-1215),"3,820",5.5,$147.54 ,"$306,890 ",2.7,$84.77 ,$110.50 ,(5) -,(5) -,(5) -,"$176,310 ","$229,840 ",(5) -,(5) -,(5) -,1.194,1.71
General Internal Medicine Physicians (29-1216),"1,700",28.9,$109.05 ,"$226,820 ",21.5,$31.23 ,$36.69 ,(5) -,(5) -,(5) -,"$64,960 ","$76,310 ",(5) -,(5) -,(5) -,0.533,1.23
Neurologists (29-1217),110,29.5,$143.48 ,"$298,450 ",22.1,$36.35 ,$64.34 ,(5) -,(5) -,(5) -,"$75,600 ","$133,830 ",(5) -,(5) -,(5) -,0.034,0.69
Obstetricians and Gynecologists (29-1218),(8) -,(8) -,$144.54 ,"$300,640 ",2.8,$58.08 ,$111.47 ,(5) -,(5) -,(5) -,"$120,810 ","$231,860 ",(5) -,(5) -,(5) -,(8) -,(8) -
"Pediatricians, General (29-1221)",910,11.8,$116.33 ,"$241,970 ",7.1,$52.11 ,$85.84 ,$109.33 ,(5) -,(5) -,"$108,390 ","$178,550 ","$227,410 ",(5) -,(5) -,0.286,1.03
"Physicians, Pathologists (29-1222)",440,41.3,$141.71 ,"$294,760 ",11.5,$82.52 ,$104.02 ,(5) -,(5) -,(5) -,"$171,640 ","$216,360 ",(5) -,(5) -,(5) -,0.139,1.82
Psychiatrists (29-1223),450,19.9,$120.68 ,"$251,020 ",6.3,$56.46 ,$84.61 ,(5) -,(5) -,(5) -,"$117,440 ","$175,980 ",(5) -,(5) -,(5) -,0.14,0.87
Radiologists (29-1224),190,8.4,$215.16 ,"$447,530 ",4.2,$36.90 ,$112.00 ,(5) -,(5) -,(5) -,"$76,760 ","$232,960 ",(5) -,(5) -,(5) -,0.059,0.34
"Physicians, All Other (29-1229)","5,150",11.8,$112.57 ,"$234,150 ",10.2,$33.10 ,$34.30 ,$107.54 ,(5) -,(5) -,"$68,850 ","$71,340 ","$223,680 ",(5) -,(5) -,1.61,0.79
"Orthopedic Surgeons, Except Pediatric (29-1242)",160,2.7,$225.41 ,"$468,860 ",7,$109.89 ,(5) -,(5) -,(5) -,(5) -,"$228,570 ",(5) -,(5) -,(5) -,(5) -,0.051,0.56
"Surgeons, All Other (29-1249)",930,44.8,$207.97 ,"$432,580 ",15.2,$95.97 ,(5) -,(5) -,(5) -,(5) -,"$199,630 ",(5) -,(5) -,(5) -,(5) -,0.29,1.86
Acupuncturists (29-1291),(8) -,(8) -,$41.45 ,"$86,220 ",6.4,$23.50 ,$39.24 ,$42.20 ,$45.25 ,$53.54 ,"$48,880 ","$81,620 ","$87,780 ","$94,110 ","$111,370 ",(8) -,(8) -
Dental Hygienists (29-1292),"5,040",9.5,$46.18 ,"$96,050 ",1.3,$40.48 ,$45.15 ,$46.89 ,$47.53 ,$49.12 ,"$84,190 ","$93,900 ","$97,530 ","$98,860 ","$102,170 ",1.576,1.11
"Healthcare Diagnosing or Treating Practitioners, All Other (29-1299)",540,42.5,$44.20 ,"$91,930 ",8.3,$18.50 ,$38.46 ,$38.46 ,$48.77 ,$60.46 ,"$38,480 ","$79,990 ","$79,990 ","$101,440 ","$125,750 ",0.17,0.85
Clinical Laboratory Technologists and Technicians (29-2010),"6,500",4.8,$32.09 ,"$66,740 ",1.3,$19.78 ,$23.07 ,$30.04 ,$39.82 ,$47.72 ,"$41,140 ","$47,980 ","$62,480 ","$82,830 ","$99,270 ",2.034,0.91
Cardiovascular Technologists and Technicians (29-2031),"1,700",11.7,$33.10 ,"$68,860 ",2,$19.64 ,$23.54 ,$31.60 ,$38.29 ,$48.98 ,"$40,850 ","$48,960 ","$65,720 ","$79,650 ","$101,870 ",0.533,1.34
Diagnostic Medical Sonographers (29-2032),"1,790",12.7,$47.78 ,"$99,370 ",2.4,$38.00 ,$41.73 ,$48.61 ,$51.52 ,$60.38 ,"$79,040 ","$86,810 ","$101,100 ","$107,170 ","$125,590 ",0.561,1
Nuclear Medicine Technologists (29-2033),510,5.4,$46.51 ,"$96,750 ",0.4,$39.12 ,$41.46 ,$47.46 ,$49.35 ,$51.60 ,"$81,360 ","$86,240 ","$98,720 ","$102,650 ","$107,320 ",0.159,1.45
Radiologic Technologists and Technicians (29-2034),"4,680",2.7,$40.98 ,"$85,250 ",0.9,$29.13 ,$33.47 ,$40.62 ,$49.39 ,$51.09 ,"$60,580 ","$69,610 ","$84,480 ","$102,740 ","$106,270 ",1.464,1.01
Magnetic Resonance Imaging Technologists (29-2035),710,4.1,$45.75 ,"$95,170 ",0.9,$38.63 ,$40.51 ,$46.71 ,$49.64 ,$53.80 ,"$80,340 ","$84,260 ","$97,160 ","$103,240 ","$111,900 ",0.222,0.82
Medical Dosimetrists (29-2036),50,14.9,$64.32 ,"$133,780 ",2.5,$52.82 ,$55.36 ,$61.53 ,$75.68 ,$80.78 ,"$109,870 ","$115,160 ","$127,980 ","$157,410 ","$168,020 ",0.014,0.55
Emergency Medical Technicians (29-2042),"3,660",4.6,$19.09 ,"$39,700 ",0.8,$15.38 ,$16.12 ,$18.32 ,$22.41 ,$23.04 ,"$31,990 ","$33,520 ","$38,110 ","$46,610 ","$47,910 ",1.145,0.99
Paramedics (29-2043),"1,820",5.4,$25.51 ,"$53,060 ",1.4,$18.29 ,$22.98 ,$24.45 ,$29.30 ,$31.56 ,"$38,040 ","$47,800 ","$50,860 ","$60,930 ","$65,640 ",0.569,0.88
Dietetic Technicians (29-2051),520,8,$24.72 ,"$51,420 ",13.1,$17.35 ,$18.75 ,$20.08 ,$22.89 ,$25.95 ,"$36,080 ","$39,000 ","$41,770 ","$47,620 ","$53,980 ",0.163,0.84
Pharmacy Technicians (29-2052),"11,260",5.1,$23.02 ,"$47,880 ",0.8,$18.10 ,$19.17 ,$22.89 ,$24.09 ,$29.02 ,"$37,650 ","$39,870 ","$47,620 ","$50,100 ","$60,350 ",3.523,1.11
Psychiatric Technicians (29-2053),"7,510",7.6,$20.89 ,"$43,440 ",1.3,$16.54 ,$18.33 ,$20.68 ,$22.74 ,$24.78 ,"$34,410 ","$38,130 ","$43,010 ","$47,300 ","$51,530 ",2.35,2.66
Surgical Technologists (29-2055),"2,220",3.1,$33.32 ,"$69,300 ",0.4,$24.18 ,$28.96 ,$32.47 ,$38.11 ,$41.73 ,"$50,300 ","$60,230 ","$67,530 ","$79,260 ","$86,790 ",0.695,0.94
