Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Instructional Coordinators (25-9031),640,6.2,$36.40 ,"$75,710 ",2.6,$24.06 ,$28.55 ,$35.20 ,$45.08 ,$50.67 ,"$50,030 ","$59,380 ","$73,210 ","$93,760 ","$105,390 ",0.739,0.54
"Teaching Assistants, Postsecondary (25-9044)",330,7.1,(4) -,"$48,420 ",2,(4) -,(4) -,(4) -,(4) -,(4) -,"$33,460 ","$37,100 ","$46,330 ","$59,210 ","$62,470 ",0.384,0.38
"Teaching Assistants, Except Postsecondary (25-9045)","8,670",3.7,(4) -,"$32,700 ",1,(4) -,(4) -,(4) -,(4) -,(4) -,"$25,840 ","$27,830 ","$30,350 ","$36,110 ","$41,530 ",10.072,1.13
"Educational Instruction and Library Workers, All Other (25-9099)",300,7.6,$23.40 ,"$48,680 ",1.4,$18.23 ,$20.60 ,$22.49 ,$25.51 ,$27.78 ,"$37,920 ","$42,850 ","$46,780 ","$53,060 ","$57,780 ",0.352,0.47
"Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)","8,780",2.8,$31.09 ,"$64,670 ",4.8,$15.00 ,$18.16 ,$24.43 ,$35.55 ,$49.20 ,"$31,200 ","$37,770 ","$50,820 ","$73,930 ","$102,340 ",10.202,0.75
Art Directors (27-1011),50,22.4,$30.58 ,"$63,600 ",7.1,$18.64 ,$22.23 ,$28.72 ,$39.16 ,$41.92 ,"$38,780 ","$46,230 ","$59,740 ","$81,450 ","$87,180 ",0.06,0.18
"Fine Artists, Including Painters, Sculptors, and Illustrators (27-1013)",110,33.2,$26.01 ,"$54,090 ",18.5,$18.47 ,$20.80 ,$20.80 ,$31.26 ,$33.27 ,"$38,420 ","$43,250 ","$43,250 ","$65,020 ","$69,210 ",0.13,2
Special Effects Artists and Animators (27-1014),50,20.6,$29.36 ,"$61,060 ",8.5,$22.64 ,$22.65 ,$24.16 ,$32.49 ,$37.61 ,"$47,100 ","$47,110 ","$50,250 ","$67,570 ","$78,220 ",0.058,0.42
Commercial and Industrial Designers (27-1021),(8) -,(8) -,$28.87 ,"$60,060 ",4.4,$21.46 ,$22.35 ,$28.38 ,$34.79 ,$36.11 ,"$44,640 ","$46,500 ","$59,020 ","$72,370 ","$75,120 ",(8) -,(8) -
Floral Designers (27-1023),170,9.9,$16.31 ,"$33,920 ",1.5,$13.10 ,$14.28 ,$17.08 ,$17.53 ,$18.25 ,"$27,250 ","$29,710 ","$35,520 ","$36,460 ","$37,960 ",0.193,0.74
Graphic Designers (27-1024),"1,170",11.9,$30.08 ,"$62,570 ",5.2,$17.69 ,$19.17 ,$27.78 ,$37.23 ,$49.74 ,"$36,790 ","$39,880 ","$57,780 ","$77,450 ","$103,460 ",1.365,0.98
Interior Designers (27-1025),70,16,$24.18 ,"$50,290 ",4.3,$18.99 ,$18.99 ,$24.23 ,$26.36 ,$27.13 ,"$39,500 ","$39,500 ","$50,400 ","$54,820 ","$56,430 ",0.081,0.18
Merchandise Displayers and Window Trimmers (27-1026),"1,070",8.6,$17.36 ,"$36,100 ",1.7,$14.05 ,$15.06 ,$16.72 ,$18.21 ,$19.77 ,"$29,230 ","$31,330 ","$34,780 ","$37,870 ","$41,120 ",1.243,1
Set and Exhibit Designers (27-1027),80,22.3,$27.23 ,"$56,640 ",1.3,$18.52 ,$22.21 ,$24.91 ,$31.68 ,$38.77 ,"$38,530 ","$46,200 ","$51,810 ","$65,890 ","$80,640 ",0.088,1.25
Actors (27-2011),40,45.8,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,0.048,0.19
Producers and Directors (27-2012),710,9.2,$45.23 ,"$94,070 ",12.6,$21.70 ,$23.98 ,$31.72 ,$38.66 ,$94.32 ,"$45,130 ","$49,870 ","$65,980 ","$80,420 ","$196,190 ",0.827,0.88
Coaches and Scouts (27-2022),720,11,(4) -,"$54,880 ",4.8,(4) -,(4) -,(4) -,(4) -,(4) -,"$26,570 ","$29,250 ","$37,740 ","$62,460 ","$102,610 ",0.834,0.51
"Umpires, Referees, and Other Sports Officials (27-2023)",40,23.2,(4) -,"$35,770 ",4.1,(4) -,(4) -,(4) -,(4) -,(4) -,"$25,670 ","$28,200 ","$28,210 ","$40,710 ","$49,430 ",0.048,0.49
Musicians and Singers (27-2042),150,14,$48.37 ,(4) -,9.6,$13.81 ,$24.99 ,$42.96 ,$83.71 ,$107.81 ,(4) -,(4) -,(4) -,(4) -,(4) -,0.172,0.69
Broadcast Announcers and Radio Disc Jockeys (27-3011),200,12.2,$23.01 ,"$47,860 ",7.5,$13.18 ,$14.83 ,$18.52 ,$21.60 ,$47.81 ,"$27,410 ","$30,840 ","$38,530 ","$44,920 ","$99,450 ",0.236,1.52
"News Analysts, Reporters, and Journalists (27-3023)",160,15.8,$30.42 ,"$63,270 ",4,$16.89 ,$22.02 ,$24.64 ,$31.47 ,$48.86 ,"$35,130 ","$45,790 ","$51,240 ","$65,460 ","$101,630 ",0.19,0.7
Public Relations Specialists (27-3031),"1,180",5.3,$34.13 ,"$70,990 ",3,$20.80 ,$24.69 ,$31.62 ,$38.56 ,$51.80 ,"$43,250 ","$51,360 ","$65,770 ","$80,210 ","$107,740 ",1.37,0.75
Editors (27-3041),270,12.8,$36.67 ,"$76,270 ",7.2,$18.40 ,$21.70 ,$29.45 ,$46.46 ,$63.58 ,"$38,270 ","$45,130 ","$61,250 ","$96,630 ","$132,240 ",0.319,0.52
Technical Writers (27-3042),390,8.6,$38.84 ,"$80,790 ",1.7,$26.04 ,$30.51 ,$37.91 ,$45.54 ,$50.46 ,"$54,170 ","$63,460 ","$78,840 ","$94,720 ","$104,950 ",0.45,1.25
Writers and Authors (27-3043),60,28.9,$47.89 ,"$99,610 ",22.1,$22.23 ,$29.38 ,$35.47 ,$45.72 ,(5) -,"$46,230 ","$61,110 ","$73,790 ","$95,090 ",(5) -,0.071,0.23
Interpreters and Translators (27-3091),460,12.1,$29.63 ,"$61,620 ",8.2,$14.24 ,$18.03 ,$28.37 ,$38.98 ,$45.51 ,"$29,630 ","$37,500 ","$59,010 ","$81,090 ","$94,660 ",0.537,1.55
"Media and Communication Workers, All Other (27-3099)",40,47.2,$23.74 ,"$49,380 ",10.4,$19.32 ,$19.33 ,$22.05 ,$23.31 ,$30.43 ,"$40,180 ","$40,210 ","$45,860 ","$48,490 ","$63,290 ",0.047,0.31
Audio and Video Technicians (27-4011),390,21.9,$23.02 ,"$47,890 ",5.2,$12.00 ,$16.43 ,$23.18 ,$30.16 ,$35.05 ,"$24,960 ","$34,170 ","$48,210 ","$62,730 ","$72,900 ",0.452,0.99
Broadcast Technicians (27-4012),110,9.2,$25.06 ,"$52,130 ",2.1,$18.52 ,$19.56 ,$24.43 ,$28.78 ,$34.20 ,"$38,530 ","$40,690 ","$50,810 ","$59,870 ","$71,130 ",0.125,0.92
Sound Engineering Technicians (27-4014),60,16.7,$24.92 ,"$51,820 ",6.2,$16.02 ,$19.11 ,$28.46 ,$31.07 ,$31.62 ,"$33,330 ","$39,750 ","$59,190 ","$64,630 ","$65,780 ",0.071,0.84
Lighting Technicians (27-4015),50,30.1,$34.71 ,"$72,190 ",17,$18.51 ,$18.73 ,$29.41 ,$61.10 ,$61.15 ,"$38,500 ","$38,950 ","$61,180 ","$127,090 ","$127,190 ",0.055,0.84
Photographers (27-4021),210,25.4,$28.64 ,"$59,560 ",18.2,$15.01 ,$16.10 ,$20.00 ,$34.65 ,$69.99 ,"$31,220 ","$33,480 ","$41,600 ","$72,070 ","$145,580 ",0.245,0.74
"Camera Operators, Television, Video, and Film (27-4031)",420,11.3,$26.69 ,"$55,520 ",7.1,$19.26 ,$22.32 ,$22.32 ,$25.99 ,$41.34 ,"$40,070 ","$46,420 ","$46,420 ","$54,060 ","$85,990 ",0.491,3.1
Film and Video Editors (27-4032),130,29,$26.98 ,"$56,120 ",12.1,$19.91 ,$21.40 ,$22.40 ,$26.38 ,$43.26 ,"$41,410 ","$44,520 ","$46,600 ","$54,870 ","$89,990 ",0.149,0.79
"Media and Communication Equipment Workers, All Other (27-4099)",70,25.9,$38.64 ,"$80,380 ",15.4,$16.42 ,$17.00 ,$41.92 ,$52.95 ,$54.92 ,"$34,160 ","$35,360 ","$87,190 ","$110,140 ","$114,230 ",0.084,0.99
Healthcare Practitioners and Technical Occupations (29-0000),"49,890",1.4,$50.33 ,"$104,680 ",1.3,$18.78 ,$28.13 ,$40.57 ,$53.32 ,$81.82 ,"$39,060 ","$58,510 ","$84,380 ","$110,900 ","$170,190 ",57.954,0.93
Chiropractors (29-1011),180,7.4,$45.84 ,"$95,360 ",14.4,$18.53 ,$28.92 ,$38.92 ,$49.63 ,$109.37 ,"$38,540 ","$60,140 ","$80,950 ","$103,230 ","$227,480 ",0.208,0.85
"Dentists, General (29-1021)",660,11.1,$92.10 ,"$191,570 ",4.1,$57.99 ,$63.39 ,$82.56 ,$104.92 ,(5) -,"$120,620 ","$131,840 ","$171,730 ","$218,230 ",(5) -,0.763,1.04
"Dentists, All Other Specialists (29-1029)",50,1.2,$99.92 ,"$207,820 ",0.5,$50.23 ,$91.40 ,$101.14 ,(5) -,(5) -,"$104,480 ","$190,110 ","$210,370 ",(5) -,(5) -,0.056,1.46
Dietitians and Nutritionists (29-1031),390,8.7,$33.09 ,"$68,830 ",2,$23.97 ,$28.60 ,$32.39 ,$36.80 ,$42.18 ,"$49,850 ","$59,480 ","$67,370 ","$76,550 ","$87,730 ",0.456,0.92
Optometrists (29-1041),140,16.9,$75.39 ,"$156,800 ",6.9,$45.34 ,$51.80 ,$74.34 ,$82.82 ,$89.34 ,"$94,310 ","$107,750 ","$154,630 ","$172,270 ","$185,820 ",0.162,0.6
Pharmacists (29-1051),"1,770",5.4,$65.23 ,"$135,670 ",1.5,$41.80 ,$61.11 ,$66.15 ,$75.35 ,$83.00 ,"$86,940 ","$127,120 ","$137,600 ","$156,720 ","$172,630 ",2.06,0.97
Physician Assistants (29-1071),640,12.5,$69.27 ,"$144,080 ",6.1,$45.98 ,$57.01 ,$67.30 ,$78.78 ,$107.33 ,"$95,640 ","$118,580 ","$139,990 ","$163,870 ","$223,250 ",0.743,0.74
Podiatrists (29-1081),60,11.9,$91.93 ,"$191,220 ",6.4,$27.93 ,$36.05 ,$109.20 ,(5) -,(5) -,"$58,090 ","$74,990 ","$227,130 ",(5) -,(5) -,0.064,1.04
Occupational Therapists (29-1122),860,7.1,$49.31 ,"$102,560 ",1.8,$32.43 ,$39.05 ,$47.70 ,$60.26 ,$66.90 ,"$67,450 ","$81,220 ","$99,220 ","$125,340 ","$139,150 ",0.996,1.01
Physical Therapists (29-1123),"1,350",6,$47.77 ,"$99,360 ",2,$27.42 ,$36.47 ,$48.62 ,$59.44 ,$65.89 ,"$57,040 ","$75,860 ","$101,130 ","$123,640 ","$137,040 ",1.57,0.97
Recreational Therapists (29-1125),90,9,$29.90 ,"$62,190 ",0.9,$20.11 ,$22.38 ,$23.02 ,$35.62 ,$57.77 ,"$41,830 ","$46,540 ","$47,880 ","$74,090 ","$120,160 ",0.103,1.06
Respiratory Therapists (29-1126),600,3.1,$34.03 ,"$70,780 ",0.7,$28.50 ,$30.77 ,$31.95 ,$38.58 ,$41.12 ,"$59,280 ","$64,000 ","$66,460 ","$80,250 ","$85,530 ",0.696,0.79
Speech-Language Pathologists (29-1127),"1,040",7.6,$51.10 ,"$106,280 ",2.1,$36.39 ,$40.45 ,$50.44 ,$61.15 ,$66.55 ,"$75,690 ","$84,130 ","$104,910 ","$127,180 ","$138,420 ",1.211,1.04
"Therapists, All Other (29-1129)",40,40.9,$45.85 ,"$95,370 ",2.8,$30.46 ,$37.50 ,$48.32 ,$49.79 ,$62.50 ,"$63,360 ","$78,000 ","$100,510 ","$103,550 ","$130,000 ",0.048,0.38
Veterinarians (29-1131),350,10.5,$63.25 ,"$131,560 ",4.4,$37.09 ,$45.55 ,$60.92 ,$77.44 ,$84.00 ,"$77,140 ","$94,740 ","$126,710 ","$161,070 ","$174,720 ",0.402,0.77
Registered Nurses (29-1141),"17,510",2.4,$45.37 ,"$94,360 ",0.7,$33.96 ,$39.72 ,$42.43 ,$50.35 ,$58.27 ,"$70,630 ","$82,630 ","$88,260 ","$104,720 ","$121,200 ",20.343,0.96
Nurse Anesthetists (29-1151),(8) -,(8) -,$102.34 ,"$212,860 ",15.1,$49.86 ,$84.15 ,$103.27 ,$110.58 ,(5) -,"$103,710 ","$175,020 ","$214,810 ","$230,000 ",(5) -,(8) -,(8) -
Nurse Midwives (29-1161),130,34.7,$43.77 ,"$91,050 ",24.2,$17.93 ,$18.47 ,$57.04 ,$63.76 ,$69.68 ,"$37,290 ","$38,420 ","$118,650 ","$132,620 ","$144,930 ",0.146,2.72
Nurse Practitioners (29-1171),"1,870",7.6,$65.68 ,"$136,620 ",2.4,$38.89 ,$54.44 ,$66.56 ,$75.00 ,$90.31 ,"$80,890 ","$113,240 ","$138,440 ","$156,000 ","$187,840 ",2.176,1.09
Audiologists (29-1181),90,39.1,$39.61 ,"$82,400 ",10,$32.48 ,$33.64 ,$37.23 ,$44.01 ,$52.94 ,"$67,550 ","$69,980 ","$77,440 ","$91,530 ","$110,120 ",0.105,1.09
Anesthesiologists (29-1211),60,38.9,$153.10 ,"$318,450 ",11.1,$112.53 ,$112.53 ,(5) -,(5) -,(5) -,"$234,060 ","$234,060 ",(5) -,(5) -,(5) -,0.071,0.26
Cardiologists (29-1212),310,18.4,$185.59 ,"$386,030 ",4.2,$110.63 ,$110.63 ,(5) -,(5) -,(5) -,"$230,100 ","$230,100 ",(5) -,(5) -,(5) -,0.362,3.1
Emergency Medicine Physicians (29-1214),400,9.9,$161.59 ,"$336,110 ",4.7,$73.53 ,(5) -,(5) -,(5) -,(5) -,"$152,940 ",(5) -,(5) -,(5) -,(5) -,0.46,2.1
Family Medicine Physicians (29-1215),710,16.2,$140.37 ,"$291,980 ",13.7,$60.02 ,$82.42 ,(5) -,(5) -,(5) -,"$124,830 ","$171,440 ",(5) -,(5) -,(5) -,0.821,1.17
General Internal Medicine Physicians (29-1216),100,9.3,$133.45 ,"$277,580 ",4.1,$98.62 ,(5) -,(5) -,(5) -,(5) -,"$205,130 ",(5) -,(5) -,(5) -,(5) -,0.111,0.26
Neurologists (29-1217),30,23,$204.19 ,"$424,710 ",12.1,$104.14 ,$108.54 ,(5) -,(5) -,(5) -,"$216,620 ","$225,760 ",(5) -,(5) -,(5) -,0.038,0.76
Obstetricians and Gynecologists (29-1218),150,14.5,$140.70 ,"$292,660 ",2.6,$76.92 ,(5) -,(5) -,(5) -,(5) -,"$159,990 ",(5) -,(5) -,(5) -,(5) -,0.172,1.34
"Pediatricians, General (29-1221)",230,17.3,$119.40 ,"$248,350 ",7.8,$60.19 ,$86.54 ,$114.40 ,(5) -,(5) -,"$125,200 ","$180,000 ","$237,950 ",(5) -,(5) -,0.268,0.96
Psychiatrists (29-1223),130,39.9,$136.35 ,"$283,600 ",4.3,$102.48 ,$102.48 ,(5) -,(5) -,(5) -,"$213,150 ","$213,150 ",(5) -,(5) -,(5) -,0.149,0.93
"Physicians, All Other (29-1229)","1,640",6,$144.66 ,"$300,890 ",2.9,$60.67 ,$109.97 ,(5) -,(5) -,(5) -,"$126,200 ","$228,730 ",(5) -,(5) -,(5) -,1.905,0.93
"Surgeons, All Other (29-1249)",100,6.6,$192.31 ,"$400,000 ",2.4,$63.18 ,$111.77 ,(5) -,(5) -,(5) -,"$131,410 ","$232,470 ",(5) -,(5) -,(5) -,0.121,0.78
Acupuncturists (29-1291),(8) -,(8) -,$31.59 ,"$65,700 ",25.7,$15.47 ,$15.47 ,$40.01 ,$40.01 ,$51.86 ,"$32,180 ","$32,180 ","$83,220 ","$83,220 ","$107,870 ",(8) -,(8) -
Dental Hygienists (29-1292),"1,400",11.8,$44.89 ,"$93,380 ",1.9,$38.47 ,$40.00 ,$46.35 ,$47.70 ,$49.52 ,"$80,020 ","$83,200 ","$96,410 ","$99,210 ","$103,000 ",1.625,1.14
"Healthcare Diagnosing or Treating Practitioners, All Other (29-1299)",120,3.7,$49.49 ,"$102,940 ",0.3,$36.90 ,$41.46 ,$46.47 ,$54.18 ,$65.31 ,"$76,750 ","$86,230 ","$96,660 ","$112,700 ","$135,840 ",0.142,0.71
Clinical Laboratory Technologists and Technicians (29-2010),"1,840",7,$25.80 ,"$53,670 ",1.7,$17.29 ,$18.37 ,$22.37 ,$29.56 ,$38.33 ,"$35,970 ","$38,210 ","$46,530 ","$61,480 ","$79,730 ",2.142,0.96
Cardiovascular Technologists and Technicians (29-2031),260,6,$25.92 ,"$53,900 ",1.4,$16.63 ,$19.22 ,$20.13 ,$31.35 ,$46.05 ,"$34,600 ","$39,980 ","$41,860 ","$65,200 ","$95,780 ",0.305,0.77
Diagnostic Medical Sonographers (29-2032),300,7.1,$40.27 ,"$83,760 ",2.8,$23.89 ,$33.24 ,$40.46 ,$48.22 ,$50.26 ,"$49,690 ","$69,150 ","$84,150 ","$100,290 ","$104,540 ",0.352,0.63
Nuclear Medicine Technologists (29-2033),50,1.5,$44.04 ,"$91,600 ",0.2,$36.36 ,$40.08 ,$40.80 ,$48.79 ,$50.69 ,"$75,620 ","$83,360 ","$84,860 ","$101,490 ","$105,430 ",0.057,0.52
Radiologic Technologists and Technicians (29-2034),"1,140",3.3,$36.01 ,"$74,890 ",0.6,$25.95 ,$30.66 ,$35.61 ,$39.61 ,$48.69 ,"$53,980 ","$63,770 ","$74,060 ","$82,390 ","$101,280 ",1.328,0.92
Magnetic Resonance Imaging Technologists (29-2035),110,11.6,$42.27 ,"$87,930 ",0.7,$37.60 ,$40.76 ,$42.56 ,$44.29 ,$48.69 ,"$78,210 ","$84,770 ","$88,530 ","$92,130 ","$101,260 ",0.124,0.46
Emergency Medical Technicians (29-2042),"1,400",5,$19.33 ,"$40,210 ",1,$14.84 ,$16.64 ,$17.72 ,$21.50 ,$24.38 ,"$30,870 ","$34,610 ","$36,850 ","$44,710 ","$50,700 ",1.623,1.41
Paramedics (29-2043),850,4.3,$30.74 ,"$63,940 ",3.7,$20.89 ,$22.39 ,$24.20 ,$31.85 ,$36.17 ,"$43,450 ","$46,580 ","$50,340 ","$66,240 ","$75,220 ",0.989,1.53
Dietetic Technicians (29-2051),80,14.2,$17.12 ,"$35,600 ",1.6,$14.74 ,$16.67 ,$16.67 ,$18.80 ,$19.00 ,"$30,670 ","$34,680 ","$34,680 ","$39,110 ","$39,520 ",0.093,0.48
Pharmacy Technicians (29-2052),"2,740",3,$21.86 ,"$45,480 ",0.6,$17.53 ,$18.70 ,$21.62 ,$23.04 ,$26.90 ,"$36,460 ","$38,890 ","$44,970 ","$47,930 ","$55,950 ",3.186,1.01
Psychiatric Technicians (29-2053),370,7.1,$18.67 ,"$38,840 ",0.5,$14.57 ,$14.57 ,$17.93 ,$18.10 ,$22.54 ,"$30,310 ","$30,310 ","$37,300 ","$37,650 ","$46,880 ",0.426,0.48
Surgical Technologists (29-2055),590,8.5,$27.27 ,"$56,720 ",2.2,$19.41 ,$23.03 ,$25.38 ,$32.09 ,$35.65 ,"$40,380 ","$47,900 ","$52,780 ","$66,760 ","$74,150 ",0.689,0.93
Veterinary Technologists and Technicians (29-2056),860,11.8,$19.29 ,"$40,130 ",2.7,$14.35 ,$16.56 ,$18.26 ,$22.11 ,$23.86 ,"$29,850 ","$34,440 ","$37,980 ","$45,990 ","$49,640 ",0.998,1.17
Ophthalmic Medical Technicians (29-2057),260,23.8,$19.48 ,"$40,530 ",3.1,$14.31 ,$15.48 ,$18.03 ,$22.75 ,$28.35 ,"$29,770 ","$32,200 ","$37,510 ","$47,310 ","$58,960 ",0.304,0.61
Licensed Practical and Licensed Vocational Nurses (29-2061),"1,850",5.8,$27.25 ,"$56,690 ",1.3,$18.26 ,$18.62 ,$29.21 ,$31.68 ,$36.37 ,"$37,980 ","$38,720 ","$60,760 ","$65,890 ","$75,640 ",2.155,0.53
Medical Records Specialists (29-2072),"1,360",6.3,$24.75 ,"$51,470 ",1.1,$16.98 ,$19.42 ,$24.20 ,$28.82 ,$33.93 ,"$35,310 ","$40,390 ","$50,340 ","$59,950 ","$70,570 ",1.58,1.3
"Opticians, Dispensing (29-2081)",350,9,$18.69 ,"$38,880 ",2.1,$13.27 ,$16.24 ,$17.75 ,$19.76 ,$23.71 ,"$27,600 ","$33,780 ","$36,910 ","$41,100 ","$49,330 ",0.403,0.78
Orthotists and Prosthetists (29-2091),110,47.6,$30.91 ,"$64,290 ",5.5,$14.62 ,$23.00 ,$27.84 ,$37.50 ,$50.00 ,"$30,410 ","$47,840 ","$57,910 ","$78,010 ","$104,000 ",0.128,1.99
Hearing Aid Specialists (29-2092),50,30.7,$40.73 ,"$84,710 ",11.5,$17.05 ,$30.91 ,$38.43 ,$55.59 ,$58.65 ,"$35,450 ","$64,290 ","$79,930 ","$115,630 ","$121,990 ",0.054,0.78
"Health Technologists and Technicians, All Other (29-2099)",670,13.7,$24.97 ,"$51,950 ",3.7,$16.57 ,$17.97 ,$22.33 ,$30.96 ,$39.36 ,"$34,470 ","$37,370 ","$46,440 ","$64,400 ","$81,860 ",0.779,0.69
Health Information Technologists and Medical Registrars (29-9021),150,20.9,$21.88 ,"$45,510 ",4.1,$17.88 ,$18.37 ,$19.83 ,$22.51 ,$34.12 ,"$37,180 ","$38,210 ","$41,240 ","$46,820 ","$70,980 ",0.172,0.71
Athletic Trainers (29-9091),120,9,(4) -,"$66,220 ",2.4,(4) -,(4) -,(4) -,(4) -,(4) -,"$46,420 ","$50,320 ","$62,300 ","$72,020 ","$91,930 ",0.134,0.71
Surgical Assistants (29-9093),250,40.8,$24.57 ,"$51,110 ",8.1,$19.35 ,$19.35 ,$22.51 ,$28.11 ,$32.00 ,"$40,250 ","$40,250 ","$46,810 ","$58,460 ","$66,560 ",0.287,1.94
"Healthcare Practitioners and Technical Workers, All Other (29-9099)",110,10.2,$37.23 ,"$77,440 ",3.4,$23.25 ,$28.90 ,$34.58 ,$43.65 ,$52.28 ,"$48,360 ","$60,110 ","$71,920 ","$90,790 ","$108,740 ",0.128,0.53
Healthcare Support Occupations (31-0000),"54,010",1.5,$15.85 ,"$32,960 ",0.6,$12.36 ,$12.92 ,$14.00 ,$17.71 ,$21.58 ,"$25,720 ","$26,870 ","$29,120 ","$36,840 ","$44,880 ",62.734,1.3
Home Health and Personal Care Aides (31-1120),"37,360",1.9,$13.95 ,"$29,020 ",0.8,$12.28 ,$12.53 ,$13.17 ,$14.40 ,$16.99 ,"$25,540 ","$26,060 ","$27,390 ","$29,960 ","$35,330 ",43.401,1.68
Nursing Assistants (31-1131),"4,600",5,$18.42 ,"$38,320 ",1.1,$14.82 ,$16.97 ,$17.80 ,$20.49 ,$22.33 ,"$30,820 ","$35,290 ","$37,030 ","$42,610 ","$46,450 ",5.349,0.59
Orderlies (31-1132),110,2.9,$17.75 ,"$36,910 ",0.5,$16.36 ,$16.96 ,$17.59 ,$17.60 ,$18.71 ,"$34,030 ","$35,280 ","$36,580 ","$36,600 ","$38,920 ",0.132,0.38
Occupational Therapy Assistants (31-2011),170,10.6,$32.10 ,"$66,770 ",2.7,$17.20 ,$26.52 ,$33.58 ,$39.11 ,$41.54 ,"$35,770 ","$55,150 ","$69,850 ","$81,350 ","$86,390 ",0.193,0.62
Occupational Therapy Aides (31-2012),70,24,$28.98 ,"$60,270 ",10.8,$16.88 ,$17.49 ,$32.64 ,$39.67 ,$40.45 ,"$35,110 ","$36,380 ","$67,890 ","$82,510 ","$84,130 ",0.081,2.51
Physical Therapist Assistants (31-2021),690,8.7,$28.52 ,"$59,330 ",2.3,$17.01 ,$24.49 ,$28.53 ,$33.69 ,$39.09 ,"$35,380 ","$50,930 ","$59,330 ","$70,080 ","$81,310 ",0.796,1.14
Physical Therapist Aides (31-2022),200,25.1,$20.05 ,"$41,710 ",9.3,$13.42 ,$14.15 ,$17.19 ,$19.20 ,$36.26 ,"$27,920 ","$29,430 ","$35,760 ","$39,930 ","$75,410 ",0.237,0.83
Massage Therapists (31-9011),320,22.1,$26.95 ,"$56,060 ",10.5,$14.23 ,$19.83 ,$22.91 ,$38.59 ,$42.85 ,"$29,590 ","$41,250 ","$47,660 ","$80,270 ","$89,120 ",0.366,0.59
Dental Assistants (31-9091),"2,010",5.4,$20.33 ,"$42,290 ",2,$16.64 ,$17.64 ,$18.68 ,$22.07 ,$26.10 ,"$34,620 ","$36,700 ","$38,840 ","$45,900 ","$54,290 ",2.338,0.96
Medical Assistants (31-9092),"6,320",3.4,$19.60 ,"$40,760 ",0.7,$15.94 ,$17.53 ,$18.75 ,$21.50 ,$24.14 ,"$33,140 ","$36,460 ","$39,000 ","$44,720 ","$50,220 ",7.338,1.43
Medical Equipment Preparers (31-9093),220,9.3,$20.64 ,"$42,940 ",2.3,$14.99 ,$17.15 ,$19.58 ,$24.01 ,$26.24 ,"$31,190 ","$35,660 ","$40,720 ","$49,950 ","$54,570 ",0.254,0.54
Medical Transcriptionists (31-9094),170,28.8,$18.99 ,"$39,490 ",6.9,$13.82 ,$14.95 ,$16.70 ,$26.10 ,$26.25 ,"$28,740 ","$31,090 ","$34,730 ","$54,290 ","$54,600 ",0.197,0.71
Pharmacy Aides (31-9095),160,15.5,$20.32 ,"$42,260 ",3,$16.76 ,$17.17 ,$17.65 ,$24.37 ,$25.80 ,"$34,860 ","$35,710 ","$36,700 ","$50,690 ","$53,650 ",0.19,0.71
Veterinary Assistants and Laboratory Animal Caretakers (31-9096),470,22.6,$16.98 ,"$35,320 ",1.6,$13.90 ,$14.49 ,$17.12 ,$17.71 ,$21.59 ,"$28,920 ","$30,130 ","$35,600 ","$36,830 ","$44,910 ",0.542,0.73
Phlebotomists (31-9097),680,10.9,$19.53 ,"$40,610 ",3.1,$15.01 ,$16.95 ,$18.50 ,$22.39 ,$24.01 ,"$31,220 ","$35,260 ","$38,480 ","$46,560 ","$49,940 ",0.784,0.87
"Healthcare Support Workers, All Other (31-9099)",450,10.4,$24.46 ,"$50,880 ",2,$18.37 ,$21.47 ,$24.61 ,$27.15 ,$30.77 ,"$38,200 ","$44,670 ","$51,190 ","$56,470 ","$64,000 ",0.526,0.78
Protective Service Occupations (33-0000),"26,900",1.4,$27.09 ,"$56,350 ",1,$15.04 ,$18.03 ,$23.85 ,$33.85 ,$44.00 ,"$31,280 ","$37,500 ","$49,610 ","$70,400 ","$91,520 ",31.25,1.32
First-Line Supervisors of Correctional Officers (33-1011),580,5.2,$32.31 ,"$67,200 ",1,$26.24 ,$26.24 ,$29.50 ,$36.61 ,$41.95 ,"$54,580 ","$54,580 ","$61,360 ","$76,140 ","$87,260 ",0.679,1.96
First-Line Supervisors of Police and Detectives (33-1012),"1,330",2.7,$44.74 ,"$93,050 ",0.9,$29.18 ,$37.96 ,$44.85 ,$49.41 ,$60.62 ,"$60,700 ","$78,950 ","$93,290 ","$102,770 ","$126,080 ",1.543,1.55
First-Line Supervisors of Firefighting and Prevention Workers (33-1021),830,2.9,$33.28 ,"$69,220 ",0.7,$22.95 ,$24.95 ,$28.37 ,$36.96 ,$47.82 ,"$47,740 ","$51,900 ","$59,020 ","$76,890 ","$99,470 ",0.965,1.59
