,Ins AIA,,,,Date Paid,Amount,Payee - Select,Payment Note,Date Paid,Date Paid,Amount,,,,
$0.00 ,100%,"$1,821.35 ","1,487","$1,821.35 ",UNIT_7__LIV,WTR,Muck-out/Flood loss cleanup - Heavy,293.01,"$1,821.35 ",MUCK+,6/19/25,,,Install 1 ea ceiling fan labor only,
$0.00 ,100%,$198.14 ,"1,488",$198.14 ,UNIT_7__LIV,WTR,Apply anti-microbial agent to the floor,293.01,$198.14 ,GRM,11/24/24,,,,
$0.00 ,100%,"$4,817.89 ","1,489","$4,817.89 ",UNIT_7__LIV,FCW,Engineered wood flooring,293.01,"$4,424.31 ",LAMTD,11/25/24,,,,
$0.00 ,100%,"$1,261.49 ","1,490","$1,261.49 ",UNIT_7__LIV,FCW,Add for glued down wood flooring application over concrete,293.01,"$1,261.49 ",GADDC,11/25/24,,,,
$0.00 ,100%,$163.65 ,"1,491",$163.65 ,UNIT_7__LIV,WTR,Apply anti-microbial agent to part of the walls,242,$163.65 ,GRM,11/24/24,,,,
$0.00 ,100%,$322.74 ,"1,492",$322.74 ,UNIT_7__LIV,CLN,Clean stud wall,242,$322.74 ,STD,11/24/24,,,,
$0.00 ,100%,$395.67 ,"1,493",$395.67 ,UNIT_7__LIV,WTR,"Tear out wet drywall, no bagging, per LF - up to 4' tall",60.5,$395.67 ,DRYN4,11/24/24,,,,
$0.00 ,100%,"$1,332.66 ","1,494","$1,332.66 ",UNIT_7__LIV,DRY,"1/2"" - drywall per LF - up to 4' tall",60.5,"$1,166.08 ",LF>,11/24/24,,,,
$0.00 ,100%,$426.93 ,"1,495",$426.93 ,UNIT_7__LIV,PNT,Seal/prime (1 coat) then paint (1 coat) part of the walls,302.5,$366.45 ,SP,11/24/24,,,,
$0.00 ,100%,$55.22 ,"1,496",$55.22 ,UNIT_7__LIV,PNT,Scrape part of the walls & prep for paint,60.5,$55.22 ,SCRP,11/24/24,,,,
$0.00 ,100%,$615.69 ,"1,497",$615.69 ,UNIT_7__LIV,DRY,Texture drywall - heavy hand texture,302.5,$538.73 ,TEX+,11/24/24,,,,
$0.00 ,100%,$657.42 ,"1,498",$657.42 ,UNIT_7__LIV,PNT,Paint the walls - one coat,484,$564.29 ,P,11/24/24,,,,
$0.00 ,100%,$90.47 ,"1,499",$90.47 ,UNIT_7__LIV,WTR,Tear out baseboard- up to Cat 3,60.5,$90.47 ,BASEB,11/24/24,,,,
$0.00 ,100%,$341.63 ,"1,500",$341.63 ,UNIT_7__LIV,FNC,"Baseboard - 3 1/4""",60.5,$304.62 ,B3,11/24/24,,,,
$0.00 ,100%,$127.25 ,"1,501",$127.25 ,UNIT_7__LIV,PNT,Paint baseboard - two coats,60.5,$109.22 ,B2,11/24/24,,,,
$0.00 ,100%,$157.82 ,"1,502",$157.82 ,UNIT_7__LIV,FNC,Base shoe,60.5,$142.61 ,SHOE,11/25/24,,,,
$0.00 ,100%,$70.41 ,"1,503",$70.41 ,UNIT_7__LIV,PNT,Seal & paint base shoe or quarter round,60.5,$60.44 ,SHOE,11/25/24,,,,
"$3,054.34 ",ACV,$763.59 ,"1,504","$3,817.93 ",UNIT_7__LIV,WDP,8-0 6-8 fiberglass sliding patio door,1,"$3,350.38 ",8F,11/25/24,,,,
$0.00 ,100%,$396.02 ,"1,505",$396.02 ,UNIT_7__LIV,DOR,"Screen door - metal - 30"" - 36"" full scrn - Standard grade",2,$365.30 ,SCRNM-,11/25/24,,,,
$0.00 ,100%,$421.44 ,"1,506",$421.44 ,UNIT_7__LIV,WDT,"Window blind - aluminum - 1"" - 42.1 to 56 SF - High grade",1,$371.07 ,BLA1X>+,11/25/24,,,,
$0.00 ,100%,$458.17 ,"3,991",$458.17 ,UNIT_7__LIV,WTR,Dehumidifier (per 24 hr period)- 110-159 ppd - No monitor.,3,$458.17 ,DHM>>,1/13/25,,,,
$0.00 ,100%,$313.20 ,"3,992",$313.20 ,UNIT_7__LIV,WTR,Air mover (per 24 hour period) - No monitoring,9,$313.20 ,DRY,1/13/25,,,,
$0.00 ,100%,$81.00 ,"1,509",$81.00 ,UNIT_7_FIRE,WTR,Muck-out/Flood loss cleanup - Heavy,13.03,$81.00 ,MUCK+,6/19/25,,,,
$0.00 ,100%,$8.83 ,"1,510",$8.83 ,UNIT_7_FIRE,WTR,Apply anti-microbial agent to the floor,13.03,$8.83 ,GRM,11/24/24,,,,
$0.00 ,100%,$262.75 ,"1,511",$262.75 ,UNIT_7_FIRE,FCW,Engineered wood flooring - High grade,13.03,$239.99 ,LAMTD+,11/25/24,,,,
$0.00 ,100%,$56.08 ,"1,512",$56.08 ,UNIT_7_FIRE,FCW,Add for glued down wood flooring application over concrete,13.03,$56.08 ,GADDC,11/25/24,,,,
$0.00 ,100%,$15.10 ,"1,513",$15.10 ,UNIT_7_FIRE,WTR,Apply anti-microbial agent to part of the walls,22.33,$15.10 ,GRM,11/24/24,,,,
$0.00 ,100%,$29.78 ,"1,514",$29.78 ,UNIT_7_FIRE,CLN,Clean stud wall,22.33,$29.78 ,STD,11/24/24,,,,
"$4,984.06 ",ACV,"$1,246.01 ","1,515","$6,230.07 ",UNIT_7_FIRE,FPL,"Fireplace, zero clnce, direct vent w/ venting - High grade",1,"$5,498.88 ",AVZDV+,11/25/24,,RO Material only,,
$433.50 ,ACV,$108.38 ,"1,516",$541.88 ,UNIT_7_FIRE,FPL,Glass fireplace door,1,$478.19 ,GDOR,11/25/24,,RO Material only,,
$0.00 ,50%,$204.21 ,"1,517",$408.41 ,UNIT_7_FIRE,FPL,Fireplace hearth - tile,14,$366.79 ,HRTH-,11/25/24,,,,
$0.00 ,50%,"$1,282.55 ","1,518","$2,565.10 ",UNIT_7_FIRE,FPL,Fireplace mantel - paint grade - custom,1,"$2,338.44 ",MNTL++,11/25/24,,RO Material only,,
$0.00 ,100%,$479.56 ,"1,520",$479.56 ,UNIT_7_KITC,WTR,Muck-out/Flood loss cleanup - Heavy,77.15,$479.56 ,MUCK+,6/19/25,,,Install 3 ea lights labor only,Add 4 ea. sheetrock patches to POL for ceiling with texture and paint due to plumbing and electrial.
$0.00 ,100%,$52.17 ,"1,521",$52.17 ,UNIT_7_KITC,WTR,Apply anti-microbial agent to the floor,77.15,$52.17 ,GRM,11/24/24,,,,
$0.00 ,100%,"$1,268.56 ","1,522","$1,268.56 ",UNIT_7_KITC,FCW,Engineered wood flooring,77.15,"$1,164.93 ",LAMTD,11/25/24,,,,
$0.00 ,100%,$332.14 ,"1,523",$332.14 ,UNIT_7_KITC,FCW,Add for glued down wood flooring application over concrete,77.15,$332.14 ,GADDC,11/25/24,,,,
$0.00 ,100%,$85.34 ,"1,524",$85.34 ,UNIT_7_KITC,WTR,Apply anti-microbial agent to part of the walls,126.22,$85.34 ,GRM,11/24/24,,,,
$0.00 ,100%,$168.34 ,"1,525",$168.34 ,UNIT_7_KITC,CLN,Clean stud wall,126.22,$168.34 ,STD,11/24/24,,,,
$0.00 ,100%,$201.62 ,"1,526",$201.62 ,UNIT_7_KITC,WTR,"Tear out wet drywall, no bagging, per LF - up to 4' tall",30.83,$201.62 ,DRYN4,11/24/24,,,,
$0.00 ,100%,$679.09 ,"1,527",$679.09 ,UNIT_7_KITC,DRY,"1/2"" - drywall per LF - up to 4' tall",30.83,$594.20 ,LF>,11/24/24,,,,Add 3 sheetrock patches to POL for ceiling with texture and paint due to plumbing and electrial.
$0.00 ,100%,$222.66 ,"1,528",$222.66 ,UNIT_7_KITC,PNT,Seal/prime (1 coat) then paint (1 coat) part of the walls,157.78,$191.12 ,SP,11/24/24,,,,
$0.00 ,100%,$28.81 ,"1,529",$28.81 ,UNIT_7_KITC,PNT,Scrape part of the walls & prep for paint,31.56,$28.81 ,SCRP,11/24/24,,,,
$0.00 ,100%,$321.13 ,"1,530",$321.13 ,UNIT_7_KITC,DRY,Texture drywall - heavy hand texture,157.78,$280.99 ,TEX+,11/24/24,,,,
$0.00 ,100%,$342.87 ,"1,531",$342.87 ,UNIT_7_KITC,PNT,Paint the walls - one coat,252.44,$294.30 ,P,11/24/24,,,,
$0.00 ,100%,"$5,151.11 ","1,532","$5,151.11 ",UNIT_7_KITC,CAB,Cabinetry - lower (base) units - High grade,12,"$4,609.90 ",LOW+,11/25/24,,,Install 12.83 upper cabinets,Add 2 LF of cabinet to POL
$0.00 ,100%,"$2,458.54 ","1,533","$2,458.54 ",UNIT_7_KITC,CAB,Countertop - Granite or Marble,24,"$2,216.40 ",CTGM,11/25/24,,,,Add 16 sq ft to granite on POL
$0.00 ,100%,"$1,696.06 ","1,534","$1,696.06 ",UNIT_7_KITC,CAB,Cabinetry - full height unit - High grade,3,"$1,489.88 ",FH+,11/25/24,,,,
$0.00 ,100%,$265.22 ,"1,535",$265.22 ,UNIT_7_KITC,PLM,Kitchen Sink - single basin,1,$265.22 ,SNKKS,12/15/24,,,Installed new sink and facuet.,
$0.00 ,100%,$119.69 ,"1,536",$119.69 ,UNIT_7_KITC,PLM,P-trap assembly - ABS (plastic),1,$108.12 ,PTRAP,11/25/24,,,,
$0.00 ,100%,$43.40 ,"1,537",$43.40 ,UNIT_7_KITC,PLM,Water supply line,1,$38.95 ,SL1,11/25/24,,,,
$0.00 ,100%,$145.33 ,"1,538",$145.33 ,UNIT_7_KITC,PLM,Angle stop valve,2,$131.46 ,STOP,11/25/24,,,,
$0.00 ,100%,"$2,454.85 ","1,539","$2,454.85 ",UNIT_7_KITC,APP,Range - slide in - electric - High grade,1,"$2,233.00 ",RGS+,11/25/24,,,,
$0.00 ,100%,"$1,539.70 ","1,540","$1,539.70 ",UNIT_7_KITC,APP,Refrigerator - top freezer - 22 to 24 cf - High grade,1,"$1,404.49 ",RF22+,11/25/24,,,,
$0.00 ,100%,$433.64 ,"1,541",$433.64 ,UNIT_7_KITC,APP,Garbage disposal / disposer,1,$397.85 ,GD,11/25/24,,,,
$0.00 ,100%,$249.55 ,"3,479",$249.55 ,UNIT_7_KITC,CAB,Add on for undermount sink cutout & polish - single basin,1,$222.52 ,CTGMS,1/15/25,,,,
$0.00 ,100%,$916.87 ,"1,545",$916.87 ,UNIT_7_SUNR,WTR,Muck-out/Flood loss cleanup - Heavy,147.5,$916.87 ,MUCK+,6/19/25,,,,
$0.00 ,100%,$99.74 ,"1,546",$99.74 ,UNIT_7_SUNR,WTR,Apply anti-microbial agent to the floor,147.5,$99.74 ,GRM,11/24/24,,,,
$0.00 ,100%,$748.90 ,"1,547",$748.90 ,UNIT_7_SUNR,TIL,Regrout tile,147.5,$748.90 ,GROUT,11/25/24,,,,
$0.00 ,100%,$183.24 ,"1,548",$183.24 ,UNIT_7_SUNR,TIL,Tile/stone sealer,147.5,$183.24 ,SEALS,11/25/24,,,,
$0.00 ,100%,$165.46 ,"1,549",$165.46 ,UNIT_7_SUNR,WTR,Apply anti-microbial agent to part of the walls,244.67,$165.46 ,GRM,11/24/24,,,,
$0.00 ,100%,$149.95 ,"1,550",$149.95 ,UNIT_7_SUNR,CLN,Clean part of the walls,244.67,$149.95 ,AV,11/26/24,,,,
$0.00 ,100%,$256.14 ,"1,551",$256.14 ,UNIT_7_SUNR,DOR,"Screen door - metal - 30"" - 36"" - full screen (no glass)",1,$235.46 ,SCRNM,11/26/24,,,,
$0.00 ,100%,"$1,534.92 ","1,552","$1,534.92 ",UNIT_8_LIVI,WTR,Muck-out/Flood loss cleanup - Heavy,246.93,"$1,534.92 ",MUCK+,6/19/25,,,Install ceiling fan labor only,
$0.00 ,100%,$166.98 ,"1,553",$166.98 ,UNIT_8_LIVI,WTR,Apply anti-microbial agent to the floor,246.93,$166.98 ,GRM,11/24/24,,,,
$0.00 ,50%,"$1,518.88 ","1,554","$3,037.75 ",UNIT_8_LIVI,FCV,Vinyl plank flooring - High grade,246.93,"$2,762.59 ",PLK+,11/24/24,,,,
$0.00 ,50%,$531.56 ,"1,555","$1,063.12 ",UNIT_8_LIVI,FCW,Add for glued down vinyl flooring application over concrete,246.93,"$1,063.12 ",GADDC,11/24/24,,,,
$0.00 ,100%,$149.23 ,"1,556",$149.23 ,UNIT_8_LIVI,WTR,Apply anti-microbial agent to part of the walls,220.67,$149.23 ,GRM,11/24/24,,,,
$0.00 ,100%,$294.29 ,"1,557",$294.29 ,UNIT_8_LIVI,CLN,Clean stud wall,220.67,$294.29 ,STD,11/24/24,,,,
$0.00 ,100%,$360.82 ,"1,558",$360.82 ,UNIT_8_LIVI,WTR,"Tear out wet drywall, no bagging, per LF - up to 4' tall",55.17,$360.82 ,DRYN4,11/24/24,,,,
$0.00 ,100%,"$1,215.24 ","1,559","$1,215.24 ",UNIT_8_LIVI,DRY,"1/2"" - drywall per LF - up to 4' tall",55.17,"$1,063.34 ",LF>,11/24/24,,,,
$0.00 ,100%,$389.28 ,"1,560",$389.28 ,UNIT_8_LIVI,PNT,Seal/prime (1 coat) then paint (1 coat) part of the walls,275.83,$334.14 ,SP,11/24/24,,,,
$0.00 ,100%,$50.35 ,"1,561",$50.35 ,UNIT_8_LIVI,PNT,Scrape part of the walls & prep for paint,55.17,$50.35 ,SCRP,11/24/24,,,,
$0.00 ,100%,$561.39 ,"1,562",$561.39 ,UNIT_8_LIVI,DRY,Texture drywall - heavy hand texture,275.83,$491.21 ,TEX+,11/24/24,,,,
$0.00 ,100%,$425.14 ,"1,563",$425.14 ,UNIT_8_LIVI,PNT,Paint the surface area - one coat,313,$364.91 ,P,11/24/24,,,,
$0.00 ,100%,"$3,580.42 ","1,564","$3,580.42 ",UNIT_8_LIVI,MSD,"Mirror - 1/4"" plate glass",128,"$3,257.85 ",AV,11/25/24,,,,
$0.00 ,100%,$82.51 ,"1,565",$82.51 ,UNIT_8_LIVI,WTR,Tear out baseboard- up to Cat 3,55.17,$82.51 ,BASEB,11/24/24,,,,
$0.00 ,100%,$311.53 ,"1,566",$311.53 ,UNIT_8_LIVI,FNC,"Baseboard - 3 1/4""",55.17,$277.78 ,B3,11/24/24,,,,
$0.00 ,100%,$116.04 ,"1,567",$116.04 ,UNIT_8_LIVI,PNT,Paint baseboard - two coats,55.17,$99.60 ,B2,11/24/24,,,,
$0.00 ,100%,$143.91 ,"1,568",$143.91 ,UNIT_8_LIVI,FNC,Base shoe,55.17,$130.04 ,SHOE,11/25/24,,,,
$0.00 ,100%,$64.20 ,"1,569",$64.20 ,UNIT_8_LIVI,PNT,Seal & paint base shoe or quarter round,55.17,$55.11 ,SHOE,11/25/24,,,,
$0.00 ,100%,$266.98 ,"1,571",$266.98 ,UNIT_8_LIVI,FNC,"Door opening (jamb & casing) - 32""to36""wide - paint grade",1,$234.96 ,DOP,11/25/24,,,,
$0.00 ,100%,$133.11 ,"1,572",$133.11 ,UNIT_8_LIVI,PNT,Prime & paint door slab only - exterior (per side),2,$114.25 ,XDOR,11/25/24,,,,
$0.00 ,100%,$92.83 ,"1,573",$92.83 ,UNIT_8_LIVI,PNT,Paint door/window trim & jamb - 2 coats (per side),2,$79.68 ,DORT,11/25/24,,,,
$0.00 ,100%,$455.92 ,"1,575",$455.92 ,UNIT_8_LIVI,DOR,Storm door assembly,1,$402.73 ,STRMD,11/25/24,,,,
$0.00 ,100%,$65.11 ,"1,576",$65.11 ,UNIT_8_LIVI,PNT,Prime & paint/finish storm door assembly,1,$55.89 ,STRMD,11/25/24,,,,
$530.10 ,ACV,$132.53 ,"1,577",$662.63 ,UNIT_8_LIVI,WDA,"Aluminum window, single hung 9-12 sf",2,$589.54 ,S,11/25/24,,,,
$0.00 ,100%,$200.32 ,"1,578",$200.32 ,UNIT_8_LIVI,FNC,Window trim set (casing & stop),20,$183.56 ,WOP,11/25/24,,,,
$0.00 ,100%,$109.23 ,"1,579",$109.23 ,UNIT_8_LIVI,PNT,Paint door/window trim & jamb - Large - 2 coats (per side),2,$93.76 ,DORT>,11/25/24,,,,
$0.00 ,100%,$34.26 ,"1,580",$34.26 ,UNIT_8_LIVI,FNC,Window sill,6,$31.77 ,SILL,11/25/24,,,,
$0.00 ,100%,$22.33 ,"1,581",$22.33 ,UNIT_8_LIVI,PNT,Seal & paint window sill,6,$19.91 ,SILL,11/25/24,,,,
$0.00 ,50%,$114.14 ,"1,582",$228.28 ,UNIT_8_LIVI,WDT,"Window blind - aluminum - 1"" - 20.1 to 32 SF",1,$201.92 ,BLA1>>,11/25/24,,,,
$0.00 ,50%,$34.96 ,"3,485",$69.91 ,UNIT_8_LIVI,FNH,Door peep hole,2,$65.09 ,PEEP,1/13/25,,,,
$0.00 ,100%,"$1,225.33 ","3,487","$1,225.33 ",UNIT_8_LIVI,DOR,Exterior door - metal - insulated / wood - High grade,1,"$1,076.81 ",X+,1/13/25,,,,
$0.00 ,100%,$200.57 ,"3,488",$200.57 ,UNIT_8_LIVI,FNH,Door lockset & deadbolt - exterior - High grade,1,$178.73 ,DBX+,11/22/24,,,,
$0.00 ,100%,$491.14 ,"3,489",$491.14 ,UNIT_8_LIVI,DOR,Additional charge for a retrofit exterior door - difficult,1,$446.12 ,XRETR+,2/16/25,,,,
$0.00 ,50%,$14.75 ,"3,490",$29.50 ,UNIT_8_LIVI,EQC,"Door numbers/letters - plastic or metal - up to 4""",1,$27.39 ,SNDN,11/22/24,,,,
$0.00 ,50%,$23.46 ,"3,491",$46.92 ,UNIT_8_LIVI,ELE,Door bell/chime button (button only),1,$42.85 ,CBUTTON,11/22/24,,,,
$0.00 ,100%,$458.17 ,"3,993",$458.17 ,UNIT_8_LIVI,WTR,Dehumidifier (per 24 hr period)- 110-159 ppd - No monitor.,3,$458.17 ,DHM>>,1/13/25,,,,
$0.00 ,100%,$313.20 ,"3,994",$313.20 ,UNIT_8_LIVI,WTR,Air mover (per 24 hour period) - No monitoring,9,$313.20 ,DRY,1/13/25,,,,
$0.00 ,100%,$403.10 ,"1,585",$403.10 ,UNIT_8_KITC,WTR,Muck-out/Flood loss cleanup - Heavy,64.85,$403.10 ,MUCK+,6/19/25,,,Install 1 ea new light,
$0.00 ,100%,$43.85 ,"1,586",$43.85 ,UNIT_8_KITC,WTR,Apply anti-microbial agent to the floor,64.85,$43.85 ,GRM,11/24/24,,,,
$0.00 ,50%,$398.91 ,"1,587",$797.81 ,UNIT_8_KITC,FCV,Vinyl plank flooring - High grade,64.85,$725.54 ,PLK+,11/24/24,,,,
$0.00 ,50%,$139.61 ,"1,588",$279.21 ,UNIT_8_KITC,FCW,Add for glued down vinyl flooring application over concrete,64.85,$279.21 ,GADDC,11/24/24,,,,
$0.00 ,100%,$43.95 ,"1,589",$43.95 ,UNIT_8_KITC,WTR,Apply anti-microbial agent to part of the walls,65,$43.95 ,GRM,11/24/24,,,,
$0.00 ,100%,$86.70 ,"1,590",$86.70 ,UNIT_8_KITC,CLN,Clean stud wall,65,$86.70 ,STD,11/24/24,,,,
$0.00 ,100%,$106.28 ,"1,591",$106.28 ,UNIT_8_KITC,WTR,"Tear out wet drywall, no bagging, per LF - up to 4' tall",16.25,$106.28 ,DRYN4,11/24/24,,,,
$0.00 ,100%,$357.95 ,"1,592",$357.95 ,UNIT_8_KITC,DRY,"1/2"" - drywall per LF - up to 4' tall",16.25,$313.20 ,LF>,11/24/24,,,,
$0.00 ,100%,$114.68 ,"1,593",$114.68 ,UNIT_8_KITC,PNT,Seal/prime (1 coat) then paint (1 coat) part of the walls,81.25,$98.44 ,SP,11/24/24,,,,
$0.00 ,100%,$14.84 ,"1,594",$14.84 ,UNIT_8_KITC,PNT,Scrape part of the walls & prep for paint,16.25,$14.84 ,SCRP,11/24/24,,,,
$0.00 ,100%,$165.37 ,"1,595",$165.37 ,UNIT_8_KITC,DRY,Texture drywall - heavy hand texture,81.25,$144.69 ,TEX+,11/24/24,,,,
$0.00 ,100%,$176.59 ,"1,596",$176.59 ,UNIT_8_KITC,PNT,Paint the walls - one coat,130,$151.58 ,P,11/24/24,,,,
$0.00 ,100%,$7.49 ,"1,597",$7.49 ,UNIT_8_KITC,WTR,Tear out baseboard- up to Cat 3,5,$7.49 ,BASEB,11/24/24,,,,
$0.00 ,100%,$28.23 ,"1,598",$28.23 ,UNIT_8_KITC,FNC,"Baseboard - 3 1/4""",5,$25.18 ,B3,11/24/24,,,,
$0.00 ,100%,$10.52 ,"1,599",$10.52 ,UNIT_8_KITC,PNT,Paint baseboard - two coats,5,$9.03 ,B2,11/24/24,,,,
$0.00 ,100%,$13.05 ,"1,600",$13.05 ,UNIT_8_KITC,FNC,Base shoe,5,$11.79 ,SHOE,11/25/24,,,,
$0.00 ,100%,$5.83 ,"1,601",$5.83 ,UNIT_8_KITC,PNT,Seal & paint base shoe or quarter round,5,$5.00 ,SHOE,11/25/24,,,,
$0.00 ,75%,"$5,795.00 ","1,602","$7,726.67 ",UNIT_8_KITC,CAB,Cabinetry - lower (base) units - High grade,18,"$6,914.87 ",LOW+,11/25/24,,,Charge owner for 14.34 LF of upper cabinets. Quote of 3631.42 was sent to owner.,
$0.00 ,50%,$604.66 ,"1,603","$1,209.31 ",UNIT_8_KITC,CAB,Countertop - flat laid plastic laminate,18,"$1,110.73 ",CTFL,11/25/24,,,,
$0.00 ,50%,$151.71 ,"1,604",$303.41 ,UNIT_8_KITC,TIL,Ceramic/porcelain tile,14,$275.78 ,AV,11/25/24,,,,
$0.00 ,50%,$71.51 ,"1,605",$143.01 ,UNIT_8_KITC,TIL,"1/2"" foam backer board - wall - sealed with thinset",14,$129.99 ,BFB1/2T,11/25/24,,,,
$0.00 ,50%,$129.86 ,"1,606",$259.72 ,UNIT_8_KITC,TIL,Add-on for tile backsplash installation,14,$259.72 ,CTTLB,11/25/24,,,,
$0.00 ,50%,$132.61 ,"1,607",$265.22 ,UNIT_8_KITC,PLM,Kitchen Sink - single basin,1,$265.22 ,SNKKS,12/15/24,,,,
$0.00 ,50%,$59.85 ,"1,608",$119.69 ,UNIT_8_KITC,PLM,P-trap assembly - ABS (plastic),1,$108.12 ,PTRAP,11/25/24,,,,
$0.00 ,50%,$21.70 ,"1,609",$43.40 ,UNIT_8_KITC,PLM,Water supply line,1,$38.95 ,SL1,11/25/24,,,,
$0.00 ,50%,$72.67 ,"1,610",$145.33 ,UNIT_8_KITC,PLM,Angle stop valve,2,$131.46 ,STOP,11/25/24,,,,
$0.00 ,80%,$769.14 ,"1,611",$961.43 ,UNIT_8_KITC,APP,Dishwasher,1,$877.54 ,DW,11/25/24,,,,
$0.00 ,80%,"$1,448.70 ","1,612","$1,810.88 ",UNIT_8_KITC,APP,Range - slide in - electric,1,"$1,648.07 ",RGS,11/25/24,,,,
$0.00 ,80%,"$1,334.48 ","1,613","$1,668.10 ",UNIT_8_KITC,APP,Refrigerator - top freezer - 24 to 26 cf,1,"$1,521.12 ",RF25,11/25/24,,,,
$0.00 ,80%,$346.91 ,"1,614",$433.64 ,UNIT_8_KITC,APP,Garbage disposal / disposer,1,$397.85 ,GD,11/25/24,,,,
$0.00 ,50%,$149.83 ,"3,494",$299.65 ,UNIT_8_KITC,CAB,Cabinetry - upper (wall) units - High grade,1,$272.19 ,UP+,4/9/25,,,,
$0.00 ,100%,$310.75 ,"1,618",$310.75 ,UNIT_8_HALL,WTR,Muck-out/Flood loss cleanup - Heavy,49.99,$310.75 ,MUCK+,6/19/25,,,Install 1 ea new light,
$0.00 ,100%,$33.81 ,"1,619",$33.81 ,UNIT_8_HALL,WTR,Apply anti-microbial agent to the floor,49.99,$33.81 ,GRM,11/24/24,,,,
$0.00 ,100%,$614.99 ,"1,620",$614.99 ,UNIT_8_HALL,FCV,Vinyl plank flooring - High grade,49.99,$559.28 ,PLK+,11/24/24,,,,
$0.00 ,100%,$215.23 ,"1,621",$215.23 ,UNIT_8_HALL,FCW,Add for glued down vinyl flooring application over concrete,49.99,$215.23 ,GADDC,11/24/24,,,,
$0.00 ,100%,$124.40 ,"1,622",$124.40 ,UNIT_8_HALL,WTR,Apply anti-microbial agent to part of the walls,184,$124.40 ,GRM,11/24/24,,,,
$0.00 ,100%,$245.40 ,"1,623",$245.40 ,UNIT_8_HALL,CLN,Clean stud wall,184,$245.40 ,STD,11/24/24,,,,
$0.00 ,100%,$300.84 ,"1,624",$300.84 ,UNIT_8_HALL,WTR,"Tear out wet drywall, no bagging, per LF - up to 4' tall",46,$300.84 ,DRYN4,11/24/24,,,,
$0.00 ,100%,"$1,013.26 ","1,625","$1,013.26 ",UNIT_8_HALL,DRY,"1/2"" - drywall per LF - up to 4' tall",46,$886.61 ,LF>,11/24/24,,,,Add 2 sheetrock patches to POL for ceiling with texture and paint due to plumbing and electrial.
$0.00 ,100%,$324.60 ,"1,626",$324.60 ,UNIT_8_HALL,PNT,Seal/prime (1 coat) then paint (1 coat) part of the walls,230,$278.61 ,SP,11/24/24,,,,
$0.00 ,100%,$41.99 ,"1,627",$41.99 ,UNIT_8_HALL,PNT,Scrape part of the walls & prep for paint,46,$41.99 ,SCRP,11/24/24,,,,
$0.00 ,100%,$468.12 ,"1,628",$468.12 ,UNIT_8_HALL,DRY,Texture drywall - heavy hand texture,230,$409.60 ,TEX+,11/24/24,,,,
$0.00 ,100%,$499.86 ,"1,629",$499.86 ,UNIT_8_HALL,PNT,Paint the walls - one coat,368,$429.05 ,P,11/24/24,,,,
$0.00 ,100%,$68.78 ,"1,630",$68.78 ,UNIT_8_HALL,WTR,Tear out baseboard- up to Cat 3,46,$68.78 ,BASEB,11/24/24,,,,
$0.00 ,100%,$259.76 ,"1,631",$259.76 ,UNIT_8_HALL,FNC,"Baseboard - 3 1/4""",46,$231.62 ,B3,11/24/24,,,,
$0.00 ,100%,$96.74 ,"1,632",$96.74 ,UNIT_8_HALL,PNT,Paint baseboard - two coats,46,$83.03 ,B2,11/24/24,,,,
$0.00 ,100%,$120.00 ,"1,633",$120.00 ,UNIT_8_HALL,FNC,Base shoe,46,$108.44 ,SHOE,11/25/24,,,,
$0.00 ,100%,$53.55 ,"1,634",$53.55 ,UNIT_8_HALL,PNT,Seal & paint base shoe or quarter round,46,$45.96 ,SHOE,11/25/24,,,,
$0.00 ,100%,"$1,340.33 ","1,635","$1,340.33 ",UNIT_8_HALL,DOR,Bifold door set - full louvered - Double,2,"$1,179.26 ",BFLVR,11/25/24,,,,
$0.00 ,100%,$628.19 ,"1,636",$628.19 ,UNIT_8_HALL,FNC,"Door opening (jamb & casing) - 36""to60""wide - paint grade",2,$552.38 ,DOP>,11/25/24,,,,
$0.00 ,100%,$476.33 ,"1,637",$476.33 ,UNIT_8_HALL,PNT,Paint full lvrd bifold door set - slab - 2 coats -per side,4,$408.85 ,BFL,11/25/24,,,,
$0.00 ,100%,$218.41 ,"1,638",$218.41 ,UNIT_8_HALL,PNT,Paint door/window trim & jamb - Large - 2 coats (per side),4,$187.46 ,DORT>,11/25/24,,,,
$0.00 ,100%,$97.78 ,"1,639",$97.78 ,UNIT_8_HALL,FNC,Closet shelf and rod package - Detach & reset,6,$97.78 ,CLOSRS,11/25/24,,,,
$0.00 ,80%,$449.64 ,"1,640",$562.05 ,UNIT_8_HALL,FNC,Closet Organizer - Melamine,4,$481.25 ,CLOSM,11/25/24,,,,
$0.00 ,100%,"$1,744.69 ","1,642","$1,744.69 ",UNIT_8_HALL,PLM,Water heater - 30 gallon - Electric - 12 yr,1,"$1,593.91 ",WH30E++,11/26/24,,,,
$0.00 ,100%,"$2,159.42 ","1,643","$2,159.42 ",UNIT_8_HALL,FNC,Closet Organizer - Wire shelves,24,"$2,159.42 ",CLOSW,11/25/24,,,,
$0.00 ,100%,"$2,213.27 ","3,495","$2,213.27 ",UNIT_8_HALL,HVC,Air handler - with heat element - 2 ton,1,"$2,021.22 ",AH2,1/13/25,,RO Owner installed new unit,,
$0.00 ,100%,$247.83 ,"1,645",$247.83 ,UNIT_8_BATH,WTR,Muck-out/Flood loss cleanup - Heavy,39.87,$247.83 ,MUCK+,6/19/25,,,Install 3 ea new light,
